workload,mode,runs,avg_real,min_real,max_real,overhead_vs_native
sequential,native,10,0.0238,0.0160,0.0640,0.0%
sequential,none,10,0.0431,0.0210,0.0490,+81.1%
sequential,baseline,10,0.0581,0.0530,0.0700,+144.1%
sequential,adaptive,10,0.0550,0.0520,0.0590,+131.1%
random,native,10,0.0415,0.0390,0.0470,0.0%
random,none,10,0.0687,0.0630,0.0720,+65.5%
random,baseline,10,0.0781,0.0760,0.0810,+88.2%
random,adaptive,10,0.0722,0.0690,0.0770,+74.0%
phase_change,native,10,0.0465,0.0420,0.0540,0.0%
phase_change,none,10,0.1082,0.0850,0.2760,+132.7%
phase_change,baseline,10,0.1139,0.1100,0.1170,+144.9%
phase_change,adaptive,10,0.1009,0.0990,0.1030,+117.0%
