workload,run,real_sec,user_sec,sys_sec
sequential,1,.021,.001,0
sequential,2,.045,0,.005
sequential,3,.049,.001,.004
sequential,4,.043,.001,.003
sequential,5,.046,0,.005
sequential,6,.046,0,.006
sequential,7,.047,.001,.005
sequential,8,.048,.002,.004
sequential,9,.043,.003,.002
sequential,10,.043,.001,.004
random,1,.069,.007,.010
random,2,.065,.006,.008
random,3,.064,.007,.011
random,4,.063,.007,.009
random,5,.071,.007,.009
random,6,.072,.008,.010
random,7,.072,.003,.013
random,8,.071,.006,.010
random,9,.070,.006,.010
random,10,.070,.004,.013
phase_change,1,.091,.003,.010
phase_change,2,.085,.007,.003
phase_change,3,.090,.005,.007
phase_change,4,.089,.005,.006
phase_change,5,.087,.006,.006
phase_change,6,.276,.006,.010
phase_change,7,.092,.004,.008
phase_change,8,.088,.004,.008
phase_change,9,.093,.006,.006
phase_change,10,.091,.006,.006
