workload,run,real_sec,user_sec,sys_sec
sequential,1,.064,.002,.015
sequential,2,.020,.004,.004
sequential,3,.026,0,.006
sequential,4,.018,.001,.004
sequential,5,.016,.002,.004
sequential,6,.018,.001,.005
sequential,7,.020,0,.005
sequential,8,.020,0,.007
sequential,9,.017,.002,.004
sequential,10,.019,0,.006
random,1,.047,.005,.016
random,2,.044,.004,.016
random,3,.043,.009,.012
random,4,.040,.007,.014
random,5,.042,.008,.012
random,6,.039,.006,.012
random,7,.039,.008,.010
random,8,.040,.007,.011
random,9,.039,.009,.009
random,10,.042,.005,.015
phase_change,1,.049,.005,.012
phase_change,2,.047,.007,.010
phase_change,3,.054,.005,.016
phase_change,4,.048,.010,.007
phase_change,5,.045,.005,.012
phase_change,6,.045,.003,.015
phase_change,7,.044,.005,.012
phase_change,8,.042,.003,.014
phase_change,9,.045,.007,.011
phase_change,10,.046,.005,.014
