workload,run,real_sec,user_sec,sys_sec
sequential,1,.059,.001,.003
sequential,2,.054,.001,.003
sequential,3,.070,0,.005
sequential,4,.061,.001,.004
sequential,5,.060,.001,.004
sequential,6,.057,0,.005
sequential,7,.054,0,.005
sequential,8,.056,.001,.005
sequential,9,.053,.001,.004
sequential,10,.057,.002,.003
random,1,.077,.005,.010
random,2,.078,.004,.012
random,3,.078,.008,.008
random,4,.076,.006,.010
random,5,.080,.007,.008
random,6,.078,.005,.011
random,7,.078,.007,.010
random,8,.077,.005,.010
random,9,.081,.009,.008
random,10,.078,.005,.011
phase_change,1,.115,.005,.006
phase_change,2,.116,.004,.007
phase_change,3,.116,.005,.006
phase_change,4,.112,.005,.006
phase_change,5,.110,.005,.006
phase_change,6,.112,.004,.007
phase_change,7,.115,.005,.006
phase_change,8,.113,.004,.007
phase_change,9,.117,.005,.005
phase_change,10,.113,.003,.007
