timestamp,mode,path,offset,size,phase,confidence,prefetch,prefetch_offset,prefetch_size
1772045049.224666,none,/big.txt,729088,8192,sequential,1.0000,0,,
1772045049.224755,none,/big.txt,737280,8192,sequential,1.0000,0,,
1772045049.2248409,none,/big.txt,745472,8192,sequential,1.0000,0,,
1772045049.224928,none,/big.txt,753664,8192,sequential,1.0000,0,,
1772045049.225017,none,/big.txt,761856,8192,sequential,1.0000,0,,
1772045049.225127,none,/big.txt,770048,8192,sequential,1.0000,0,,
1772045049.225214,none,/big.txt,778240,8192,sequential,1.0000,0,,
1772045049.225309,none,/big.txt,786432,8192,sequential,1.0000,0,,
1772045049.225419,none,/big.txt,794624,8192,sequential,1.0000,0,,
1772045049.225518,none,/big.txt,802816,8192,sequential,1.0000,0,,
1772045049.225614,none,/big.txt,811008,8192,sequential,1.0000,0,,
1772045049.225705,none,/big.txt,819200,8192,sequential,1.0000,0,,
1772045049.225796,none,/big.txt,827392,8192,sequential,1.0000,0,,
1772045049.225894,none,/big.txt,835584,8192,sequential,1.0000,0,,
1772045049.225982,none,/big.txt,843776,8192,sequential,1.0000,0,,
1772045049.2260711,none,/big.txt,851968,8192,sequential,1.0000,0,,
1772045049.2261581,none,/big.txt,860160,8192,sequential,1.0000,0,,
1772045049.2262468,none,/big.txt,868352,8192,sequential,1.0000,0,,
1772045049.226339,none,/big.txt,876544,8192,sequential,1.0000,0,,
1772045049.22643,none,/big.txt,884736,8192,sequential,1.0000,0,,
1772045049.2265239,none,/big.txt,892928,8192,sequential,1.0000,0,,
1772045049.226624,none,/big.txt,901120,8192,sequential,1.0000,0,,
1772045049.226727,none,/big.txt,909312,8192,sequential,1.0000,0,,
1772045049.226832,none,/big.txt,917504,8192,sequential,1.0000,0,,
1772045049.2269151,none,/big.txt,925696,8192,sequential,1.0000,0,,
1772045049.2270029,none,/big.txt,933888,8192,sequential,1.0000,0,,
1772045049.22709,none,/big.txt,942080,8192,sequential,1.0000,0,,
1772045049.227183,none,/big.txt,950272,8192,sequential,1.0000,0,,
1772045049.227268,none,/big.txt,958464,8192,sequential,1.0000,0,,
1772045049.227359,none,/big.txt,966656,8192,sequential,1.0000,0,,
1772045049.227446,none,/big.txt,974848,8192,sequential,1.0000,0,,
1772045049.227537,none,/big.txt,983040,8192,sequential,1.0000,0,,
1772045049.227659,none,/big.txt,991232,8192,sequential,1.0000,0,,
1772045049.227777,none,/big.txt,999424,8192,sequential,1.0000,0,,
