workload,run,real_sec,user_sec,sys_sec
python_import,6,0.5400,0.0060,0.0170
python_import,7,0.5510,0.0090,0.0120
python_import,8,0.5500,0.0100,0.0120
python_import,9,0.5990,0.0050,0.0140
python_import,10,0.5230,0.0080,0.0150
python_import,11,0.6070,0.0210,0.0030
python_import,12,0.5190,0.0060,0.0170
python_import,13,0.8990,0.0090,0.0210
python_import,14,0.5290,0.0120,0.0100
python_import,15,0.5430,0.0040,0.0160
python_import,16,0.5280,0.0120,0.0110
python_import,17,0.5130,0.0170,0.0030
python_import,18,0.5370,0.0060,0.0160
python_import,19,0.5130,0.0130,0.0100
python_import,20,0.5540,0.0140,0.0090
cache_lookup_workload,1,2.7530,0.0300,0.0130
cache_lookup_workload,2,2.7540,0.0310,0.0140
cache_lookup_workload,3,2.7590,0.0240,0.0210
cache_lookup_workload,4,2.7530,0.0260,0.0170
cache_lookup_workload,5,2.7470,0.0360,0.0070
cache_lookup_workload,6,2.7530,0.0260,0.0180
cache_lookup_workload,7,2.7500,0.0350,0.0090
cache_lookup_workload,8,2.6530,0.0330,0.0080
cache_lookup_workload,9,2.7410,0.0300,0.0140
cache_lookup_workload,10,2.7460,0.0210,0.0240
cache_lookup_workload,11,2.7460,0.0350,0.0100
cache_lookup_workload,12,2.7470,0.0400,0.0040
cache_lookup_workload,13,2.7560,0.0250,0.0200
cache_lookup_workload,14,2.7570,0.0320,0.0130
cache_lookup_workload,15,2.7590,0.0300,0.0150
cache_lookup_workload,16,2.7540,0.0270,0.0140
cache_lookup_workload,17,2.7550,0.0370,0.0060
cache_lookup_workload,18,2.7000,0.0200,0.0240
cache_lookup_workload,19,2.7530,0.0340,0.0090
cache_lookup_workload,20,2.7450,0.0270,0.0170
