workload,run,mode,real_sec,user_sec,sys_sec
python_import,17,adaptive,0.5520,0.0150,0.0020
python_import,18,native,0.0290,0.0080,0.0020
python_import,18,none,0.5530,0.0160,0.0010
python_import,18,baseline,0.5680,0.0150,0.0020
python_import,18,adaptive,0.5500,0.0030,0.0150
python_import,19,native,0.0280,0.0050,0.0040
python_import,19,none,0.5540,0.0110,0.0060
python_import,19,baseline,0.5610,0.0060,0.0110
python_import,19,adaptive,0.5660,0.0080,0.0090
python_import,20,native,0.0290,0.0050,0.0040
python_import,20,none,0.5390,0.0170,0.0000
python_import,20,baseline,0.5470,0.0160,0.0000
python_import,20,adaptive,0.5590,0.0040,0.0130
cache_lookup_workload,1,native,2.1320,0.0370,0.0180
cache_lookup_workload,1,none,2.7970,0.0170,0.0250
cache_lookup_workload,1,baseline,2.8120,0.0220,0.0160
cache_lookup_workload,1,adaptive,2.7990,0.0410,0.0010
cache_lookup_workload,2,native,2.1290,0.0290,0.0240
cache_lookup_workload,2,none,2.7920,0.0380,0.0010
cache_lookup_workload,2,baseline,2.8010,0.0270,0.0130
cache_lookup_workload,2,adaptive,2.7830,0.0330,0.0070
cache_lookup_workload,3,native,2.1310,0.0290,0.0260
cache_lookup_workload,3,none,2.7970,0.0340,0.0050
cache_lookup_workload,3,baseline,2.8120,0.0240,0.0150
cache_lookup_workload,3,adaptive,2.7970,0.0330,0.0070
cache_lookup_workload,4,native,2.1300,0.0430,0.0120
cache_lookup_workload,4,none,2.7770,0.0410,0.0000
cache_lookup_workload,4,baseline,2.8170,0.0320,0.0070
cache_lookup_workload,4,adaptive,2.8010,0.0320,0.0080
cache_lookup_workload,5,native,2.1300,0.0240,0.0300
cache_lookup_workload,5,none,2.8020,0.0280,0.0120
cache_lookup_workload,5,baseline,2.8150,0.0310,0.0090
cache_lookup_workload,5,adaptive,2.7940,0.0240,0.0140
cache_lookup_workload,6,native,2.1310,0.0280,0.0260
cache_lookup_workload,6,none,2.7940,0.0340,0.0050
cache_lookup_workload,6,baseline,2.8150,0.0310,0.0080
cache_lookup_workload,6,adaptive,2.8020,0.0280,0.0120
cache_lookup_workload,7,native,2.1290,0.0320,0.0210
cache_lookup_workload,7,none,2.7810,0.0290,0.0110
cache_lookup_workload,7,baseline,2.8110,0.0360,0.0010
cache_lookup_workload,7,adaptive,2.7960,0.0260,0.0140
cache_lookup_workload,8,native,2.1320,0.0280,0.0250
cache_lookup_workload,8,none,2.7920,0.0300,0.0100
cache_lookup_workload,8,baseline,2.8080,0.0230,0.0150
cache_lookup_workload,8,adaptive,2.7950,0.0300,0.0100
cache_lookup_workload,9,native,2.1290,0.0270,0.0270
cache_lookup_workload,9,none,2.7980,0.0340,0.0060
cache_lookup_workload,9,baseline,2.8170,0.0190,0.0210
cache_lookup_workload,9,adaptive,2.7990,0.0140,0.0250
cache_lookup_workload,10,native,2.1280,0.0290,0.0210
cache_lookup_workload,10,none,2.8000,0.0320,0.0090
cache_lookup_workload,10,baseline,2.7930,0.0210,0.0170
cache_lookup_workload,10,adaptive,2.7950,0.0300,0.0100
cache_lookup_workload,11,native,2.1290,0.0290,0.0230
cache_lookup_workload,11,none,2.7960,0.0250,0.0130
cache_lookup_workload,11,baseline,2.8160,0.0330,0.0060
cache_lookup_workload,11,adaptive,2.8020,0.0230,0.0170
cache_lookup_workload,12,native,2.1260,0.0210,0.0300
cache_lookup_workload,12,none,2.7970,0.0280,0.0120
cache_lookup_workload,12,baseline,2.8190,0.0250,0.0140
cache_lookup_workload,12,adaptive,2.8000,0.0330,0.0060
cache_lookup_workload,13,native,2.1270,0.0300,0.0240
cache_lookup_workload,13,none,2.7930,0.0300,0.0100
cache_lookup_workload,13,baseline,2.8150,0.0300,0.0080
cache_lookup_workload,13,adaptive,2.7980,0.0140,0.0260
cache_lookup_workload,14,native,2.1270,0.0200,0.0330
cache_lookup_workload,14,none,2.7960,0.0280,0.0120
cache_lookup_workload,14,baseline,2.8210,0.0380,0.0010
cache_lookup_workload,14,adaptive,2.7960,0.0300,0.0100
cache_lookup_workload,15,native,2.1270,0.0270,0.0250
cache_lookup_workload,15,none,2.7980,0.0290,0.0110
cache_lookup_workload,15,baseline,2.8150,0.0240,0.0160
cache_lookup_workload,15,adaptive,2.7930,0.0290,0.0120
cache_lookup_workload,16,native,2.1260,0.0280,0.0260
cache_lookup_workload,16,none,2.7760,0.0240,0.0160
cache_lookup_workload,16,baseline,2.8080,0.0300,0.0090
cache_lookup_workload,16,adaptive,2.7490,0.0280,0.0110
cache_lookup_workload,17,native,2.1310,0.0350,0.0190
cache_lookup_workload,17,none,2.7780,0.0270,0.0120
cache_lookup_workload,17,baseline,2.8120,0.0250,0.0140
cache_lookup_workload,17,adaptive,2.7930,0.0280,0.0120
cache_lookup_workload,18,native,2.1290,0.0300,0.0240
cache_lookup_workload,18,none,2.7910,0.0320,0.0080
cache_lookup_workload,18,baseline,2.8080,0.0290,0.0100
cache_lookup_workload,18,adaptive,2.7960,0.0330,0.0070
cache_lookup_workload,19,native,2.1270,0.0250,0.0260
cache_lookup_workload,19,none,2.7870,0.0390,0.0000
cache_lookup_workload,19,baseline,2.8070,0.0340,0.0050
cache_lookup_workload,19,adaptive,2.7850,0.0240,0.0170
cache_lookup_workload,20,native,2.1320,0.0230,0.0320
cache_lookup_workload,20,none,2.7890,0.0340,0.0050
cache_lookup_workload,20,baseline,2.8090,0.0270,0.0120
cache_lookup_workload,20,adaptive,2.7930,0.0320,0.0070
