workload,run,mode,real_sec,user_sec,sys_sec
random,14,native,0.0160,0.0120,0.0010
random,14,none,0.0410,0.0120,0.0030
random,14,baseline,0.0470,0.0160,0.0010
random,14,adaptive,0.0420,0.0110,0.0050
random,15,native,0.0160,0.0120,0.0010
random,15,none,0.0420,0.0120,0.0010
random,15,baseline,0.0450,0.0110,0.0030
random,15,adaptive,0.0410,0.0100,0.0040
random,16,native,0.0160,0.0110,0.0010
random,16,none,0.0430,0.0140,0.0010
random,16,baseline,0.0450,0.0100,0.0060
random,16,adaptive,0.0410,0.0090,0.0060
random,17,native,0.0160,0.0080,0.0050
random,17,none,0.0410,0.0130,0.0020
random,17,baseline,0.0450,0.0130,0.0020
random,17,adaptive,0.0410,0.0100,0.0060
random,18,native,0.0160,0.0090,0.0040
random,18,none,0.0420,0.0150,0.0010
random,18,baseline,0.0440,0.0090,0.0050
random,18,adaptive,0.0420,0.0120,0.0030
random,19,native,0.0160,0.0090,0.0040
random,19,none,0.0420,0.0130,0.0030
random,19,baseline,0.0500,0.0140,0.0010
random,19,adaptive,0.0410,0.0130,0.0010
random,20,native,0.0160,0.0090,0.0040
random,20,none,0.0410,0.0120,0.0020
random,20,baseline,0.0440,0.0140,0.0010
random,20,adaptive,0.0420,0.0130,0.0020
phase_change,1,native,0.2210,0.0230,0.0510
phase_change,1,none,2.1620,0.0250,0.0170
phase_change,1,baseline,2.1540,0.0250,0.0170
phase_change,1,adaptive,3.4810,0.0250,0.0400
phase_change,2,native,0.2120,0.0210,0.0500
phase_change,2,none,2.1530,0.0180,0.0210
phase_change,2,baseline,2.1540,0.0230,0.0160
phase_change,2,adaptive,2.2000,0.0240,0.0170
phase_change,3,native,0.2190,0.0160,0.0540
phase_change,3,none,2.3430,0.0260,0.0170
phase_change,3,baseline,2.1630,0.0240,0.0150
phase_change,3,adaptive,2.1750,0.0270,0.0110
phase_change,4,native,0.2160,0.0200,0.0530
phase_change,4,none,2.1270,0.0200,0.0200
phase_change,4,baseline,2.1850,0.0280,0.0130
phase_change,4,adaptive,2.9260,0.0270,0.0270
phase_change,5,native,0.2190,0.0160,0.0550
phase_change,5,none,2.1570,0.0150,0.0250
phase_change,5,baseline,2.1620,0.0210,0.0180
phase_change,5,adaptive,2.8910,0.0190,0.0290
phase_change,6,native,0.2130,0.0180,0.0480
phase_change,6,none,2.1700,0.0350,0.0060
phase_change,6,baseline,2.1760,0.0190,0.0210
phase_change,6,adaptive,2.6340,0.0240,0.0250
phase_change,7,native,0.2220,0.0170,0.0510
phase_change,7,none,2.1310,0.0150,0.0250
phase_change,7,baseline,2.1940,0.0170,0.0240
phase_change,7,adaptive,2.1910,0.0140,0.0260
phase_change,8,native,0.2160,0.0170,0.0470
phase_change,8,none,2.1540,0.0260,0.0140
phase_change,8,baseline,2.1630,0.0190,0.0200
phase_change,8,adaptive,2.1890,0.0230,0.0170
phase_change,9,native,0.2220,0.0130,0.0570
phase_change,9,none,2.4240,0.0300,0.0120
phase_change,9,baseline,2.3670,0.0250,0.0200
phase_change,9,adaptive,2.1960,0.0180,0.0220
phase_change,10,native,0.2170,0.0200,0.0470
phase_change,10,none,2.1450,0.0180,0.0240
phase_change,10,baseline,2.2170,0.0150,0.0260
phase_change,10,adaptive,2.1920,0.0210,0.0180
phase_change,11,native,0.2230,0.0160,0.0600
phase_change,11,none,2.1530,0.0180,0.0200
phase_change,11,baseline,2.1540,0.0220,0.0180
phase_change,11,adaptive,2.1900,0.0270,0.0110
phase_change,12,native,0.2160,0.0140,0.0550
phase_change,12,none,2.2850,0.0150,0.0260
phase_change,12,baseline,2.3270,0.0250,0.0170
phase_change,12,adaptive,2.1990,0.0200,0.0190
phase_change,13,native,0.2120,0.0150,0.0540
phase_change,13,none,2.1660,0.0230,0.0170
phase_change,13,baseline,2.2000,0.0200,0.0220
phase_change,13,adaptive,2.1990,0.0330,0.0070
phase_change,14,native,0.2140,0.0190,0.0520
phase_change,14,none,2.1910,0.0190,0.0230
phase_change,14,baseline,2.2100,0.0240,0.0170
phase_change,14,adaptive,2.2110,0.0290,0.0110
phase_change,15,native,0.2190,0.0230,0.0480
phase_change,15,none,2.3000,0.0280,0.0130
phase_change,15,baseline,2.1610,0.0200,0.0190
phase_change,15,adaptive,2.1810,0.0150,0.0250
phase_change,16,native,0.2220,0.0240,0.0570
phase_change,16,none,2.1360,0.0200,0.0200
phase_change,16,baseline,2.2000,0.0360,0.0040
phase_change,16,adaptive,2.1790,0.0210,0.0180
phase_change,17,native,0.2230,0.0210,0.0530
phase_change,17,none,2.2940,0.0240,0.0180
phase_change,17,baseline,2.2510,0.0210,0.0210
phase_change,17,adaptive,2.1740,0.0210,0.0180
phase_change,18,native,0.2170,0.0150,0.0550
phase_change,18,none,2.5210,0.0350,0.0100
phase_change,18,baseline,2.1440,0.0240,0.0160
phase_change,18,adaptive,2.1860,0.0170,0.0230
phase_change,19,native,0.2140,0.0180,0.0520
