workload,run,real_sec,user_sec,sys_sec
python_import,6,0.5620,0.0040,0.0180
python_import,7,0.5240,0.0050,0.0160
python_import,8,0.5500,0.0170,0.0060
python_import,9,0.5390,0.0180,0.0030
python_import,10,0.5330,0.0040,0.0180
python_import,11,0.5420,0.0180,0.0030
python_import,12,0.5430,0.0060,0.0170
python_import,13,0.5370,0.0070,0.0150
python_import,14,0.5440,0.0200,0.0040
python_import,15,0.5340,0.0050,0.0170
python_import,16,0.6570,0.0080,0.0110
python_import,17,0.5220,0.0140,0.0090
python_import,18,0.7170,0.0120,0.0130
python_import,19,0.6060,0.0080,0.0150
python_import,20,0.5210,0.0090,0.0140
cache_lookup_workload,1,2.7440,0.0260,0.0180
cache_lookup_workload,2,2.7480,0.0310,0.0130
cache_lookup_workload,3,2.7370,0.0260,0.0190
cache_lookup_workload,4,2.7550,0.0260,0.0190
cache_lookup_workload,5,2.7530,0.0370,0.0070
cache_lookup_workload,6,2.7470,0.0270,0.0180
cache_lookup_workload,7,2.7530,0.0310,0.0130
cache_lookup_workload,8,2.7520,0.0240,0.0200
cache_lookup_workload,9,2.7470,0.0330,0.0120
cache_lookup_workload,10,2.7540,0.0240,0.0220
cache_lookup_workload,11,2.7530,0.0350,0.0090
cache_lookup_workload,12,2.7450,0.0320,0.0130
cache_lookup_workload,13,2.7500,0.0430,0.0000
cache_lookup_workload,14,2.7350,0.0280,0.0150
cache_lookup_workload,15,2.7560,0.0350,0.0090
cache_lookup_workload,16,2.7320,0.0440,0.0010
cache_lookup_workload,17,2.7480,0.0420,0.0030
cache_lookup_workload,18,2.7520,0.0180,0.0260
cache_lookup_workload,19,2.7460,0.0380,0.0060
cache_lookup_workload,20,2.7420,0.0180,0.0260
