workload,run,real_sec,user_sec,sys_sec
concurrent,6,0.0230,0.0200,0.0450
concurrent,7,0.0260,0.0190,0.0390
concurrent,8,0.0220,0.0190,0.0430
concurrent,9,0.0220,0.0200,0.0470
concurrent,10,0.0210,0.0200,0.0460
concurrent,11,0.0210,0.0190,0.0430
concurrent,12,0.0200,0.0190,0.0430
concurrent,13,0.0230,0.0220,0.0540
concurrent,14,0.0100,0.0130,0.0270
concurrent,15,0.0200,0.0170,0.0390
concurrent,16,0.0180,0.0180,0.0410
concurrent,17,0.0200,0.0210,0.0450
concurrent,18,0.0200,0.0200,0.0440
concurrent,19,0.0220,0.0230,0.0510
concurrent,20,0.0220,0.0210,0.0480
