97,1772040293.444536,/big.txt,0,65536
98,1772040293.444869,/big.txt,65536,65536
99,1772040293.445045,/big.txt,131072,65536
100,1772040293.445164,/big.txt,196608,65536
101,1772040293.445272,/big.txt,262144,65536
102,1772040293.445378,/big.txt,327680,65536
103,1772040293.4455712,/big.txt,393216,65536
104,1772040293.4456809,/big.txt,458752,65536
105,1772040293.445772,/big.txt,524288,65536
106,1772040293.445888,/big.txt,589824,65536
107,1772040293.4462159,/big.txt,655360,65536
108,1772040293.4464252,/big.txt,720896,65536
109,1772040293.4465559,/big.txt,786432,65536
110,1772040293.446663,/big.txt,851968,65536
111,1772040293.446823,/big.txt,917504,65536
112,1772040293.446944,/big.txt,983040,40960
113,1772040293.4470558,/big.txt,1024000,0
114,1772040293.448992,/big.txt,20480,4096
115,1772040293.450509,/big.txt,491520,4096
116,1772040293.4520278,/big.txt,172032,4096
117,1772040293.453415,/big.txt,1228800,0
118,1772040293.454724,/big.txt,69632,4096
119,1772040293.4563,/big.txt,1024000,0
120,1772040293.4577699,/big.txt,360448,4096
121,1772040293.4590988,/big.txt,778240,4096
122,1772040293.460439,/big.txt,245760,4096
123,1772040293.461878,/big.txt,40960,4096
124,1772040293.463259,/big.txt,0,65536
125,1772040293.4633448,/big.txt,65536,65536
126,1772040293.463423,/big.txt,131072,65536
127,1772040293.4634979,/big.txt,196608,65536
128,1772040293.463574,/big.txt,262144,65536
129,1772040293.463665,/big.txt,327680,65536
130,1772040293.463754,/big.txt,393216,65536
131,1772040293.4638379,/big.txt,458752,65536
132,1772040293.463925,/big.txt,524288,65536
133,1772040293.46401,/big.txt,589824,65536
134,1772040293.464093,/big.txt,655360,65536
135,1772040293.464175,/big.txt,720896,65536
136,1772040293.464258,/big.txt,786432,65536
137,1772040293.464342,/big.txt,851968,65536
138,1772040293.4644248,/big.txt,917504,65536
139,1772040293.46451,/big.txt,983040,40960
140,1772040293.464598,/big.txt,1024000,0
