82,1772040265.129917,/big.txt,20480,4096
83,1772040265.1316018,/big.txt,491520,4096
84,1772040265.133696,/big.txt,172032,4096
85,1772040265.135453,/big.txt,1228800,0
86,1772040265.137058,/big.txt,69632,4096
87,1772040265.13869,/big.txt,1024000,0
88,1772040265.140171,/big.txt,360448,4096
89,1772040265.141642,/big.txt,778240,4096
90,1772040265.142973,/big.txt,245760,4096
91,1772040265.144301,/big.txt,40960,4096
92,1772040265.145544,/big.txt,1126400,0
93,1772040265.1470761,/big.txt,135168,4096
94,1772040265.148503,/big.txt,655360,4096
95,1772040265.150103,/big.txt,860160,4096
96,1772040265.151453,/big.txt,389120,4096
