18,1772039107.5446458,/big.txt,0,65536
19,1772039107.5450969,/big.txt,65536,65536
20,1772039107.5453272,/big.txt,131072,65536
21,1772039107.545482,/big.txt,196608,65536
22,1772039107.545631,/big.txt,262144,65536
23,1772039107.545772,/big.txt,327680,65536
24,1772039107.545909,/big.txt,393216,65536
25,1772039107.546046,/big.txt,458752,65536
26,1772039107.546176,/big.txt,524288,65536
27,1772039107.546338,/big.txt,589824,65536
28,1772039107.546464,/big.txt,655360,65536
29,1772039107.5465841,/big.txt,720896,65536
30,1772039107.5467021,/big.txt,786432,65536
31,1772039107.546821,/big.txt,851968,65536
32,1772039107.546952,/big.txt,917504,65536
33,1772039107.547122,/big.txt,983040,40960
34,1772039107.547362,/big.txt,1024000,0
