35,1772040067.499923,/big.txt,0,65536
36,1772040067.5001001,/big.txt,65536,65536
37,1772040067.5002098,/big.txt,131072,65536
38,1772040067.5002959,/big.txt,196608,65536
39,1772040067.500383,/big.txt,262144,65536
40,1772040067.500496,/big.txt,327680,65536
41,1772040067.5006258,/big.txt,393216,65536
42,1772040067.500725,/big.txt,458752,65536
43,1772040067.500822,/big.txt,524288,65536
44,1772040067.500907,/big.txt,589824,65536
45,1772040067.50101,/big.txt,655360,65536
46,1772040067.501101,/big.txt,720896,65536
47,1772040067.501184,/big.txt,786432,65536
48,1772040067.5012622,/big.txt,851968,65536
49,1772040067.501345,/big.txt,917504,65536
50,1772040067.501441,/big.txt,983040,40960
51,1772040067.5015192,/big.txt,1024000,0
