52,1772039725.1701581,/big.txt,0,65536
53,1772039725.1703959,/big.txt,65536,65536
54,1772039725.170528,/big.txt,131072,65536
55,1772039725.170608,/big.txt,196608,65536
56,1772039725.1706822,/big.txt,262144,65536
57,1772039725.170756,/big.txt,327680,65536
58,1772039725.170829,/big.txt,393216,65536
59,1772039725.170905,/big.txt,458752,65536
60,1772039725.170978,/big.txt,524288,65536
61,1772039725.171059,/big.txt,589824,65536
62,1772039725.171131,/big.txt,655360,65536
63,1772039725.171201,/big.txt,720896,65536
64,1772039725.171295,/big.txt,786432,65536
65,1772039725.171442,/big.txt,851968,65536
66,1772039725.171535,/big.txt,917504,65536
67,1772039725.1716192,/big.txt,983040,40960
68,1772039725.171693,/big.txt,1024000,0
