seq,timestamp,path,offset,size
16126,1773184387.0441036,/big.txt,20480,4096
16127,1773184387.0469263,/big.txt,491520,4096
16128,1773184387.0494294,/big.txt,172032,4096
16129,1773184387.051654,/big.txt,1228800,4096
16130,1773184387.053898,/big.txt,69632,4096
16131,1773184387.056208,/big.txt,1024000,4096
16132,1773184387.0584164,/big.txt,360448,4096
16133,1773184387.0605786,/big.txt,778240,4096
16134,1773184387.0627878,/big.txt,245760,4096
16135,1773184387.0648918,/big.txt,40960,4096
16136,1773184387.067078,/big.txt,1126400,4096
16137,1773184387.0693076,/big.txt,135168,4096
16138,1773184387.0714831,/big.txt,655360,4096
16139,1773184387.0735927,/big.txt,860160,4096
16140,1773184387.075778,/big.txt,389120,4096
