workload,mode,avg_real,min_real,max_real,overhead_vs_native
sequential,native,0.0275,0.0110,0.0320,0.0%
sequential,none,0.0811,0.0560,0.1380,+195.6%
sequential,baseline,0.0995,0.0770,0.1110,+262.7%
sequential,adaptive,0.1024,0.0960,0.1110,+273.0%
sequential,adaptive_depth1,0.1014,0.0810,0.1160,+269.6%
sequential,adaptive_depth2,0.1033,0.0890,0.1210,+276.5%
sequential,adaptive_depth4,0.1046,0.0880,0.1110,+280.9%
sequential,adaptive_depth8,0.1200,0.1030,0.3100,+337.2%
random,native,0.0385,0.0210,0.0460,0.0%
random,none,0.0478,0.0380,0.0670,+24.0%
random,baseline,0.0464,0.0340,0.0500,+20.4%
random,adaptive,0.0452,0.0300,0.0510,+17.4%
random,adaptive_depth1,0.0468,0.0350,0.0820,+21.6%
random,adaptive_depth2,0.0474,0.0240,0.0570,+23.1%
random,adaptive_depth4,0.0467,0.0260,0.0510,+21.2%
random,adaptive_depth8,0.0461,0.0230,0.0560,+19.6%
phase_change,native,0.0569,0.0330,0.0670,0.0%
phase_change,none,0.1439,0.1400,0.1510,+152.9%
phase_change,baseline,0.1814,0.1750,0.1930,+218.8%
phase_change,adaptive,0.1829,0.1580,0.2070,+221.4%
phase_change,adaptive_depth1,0.1932,0.1770,0.2750,+239.5%
phase_change,adaptive_depth2,0.1874,0.1710,0.1990,+229.3%
phase_change,adaptive_depth4,0.1906,0.1700,0.1990,+235.0%
phase_change,adaptive_depth8,0.2026,0.1860,0.2130,+256.1%
sqlite_workload,native,0.0176,0.0090,0.0190,0.0%
sqlite_workload,none,0.0221,0.0080,0.0470,+25.6%
sqlite_workload,baseline,0.0235,0.0110,0.0270,+33.5%
sqlite_workload,adaptive,0.0235,0.0150,0.0260,+33.8%
sqlite_workload,adaptive_depth1,0.0239,0.0140,0.0270,+35.8%
sqlite_workload,adaptive_depth2,0.0237,0.0120,0.0260,+34.7%
sqlite_workload,adaptive_depth4,0.0219,0.0100,0.0270,+24.1%
sqlite_workload,adaptive_depth8,0.0258,0.0220,0.0340,+46.6%
tar_workload,native,0.0596,0.0410,0.0670,0.0%
tar_workload,none,0.0668,0.0630,0.0700,+12.1%
tar_workload,baseline,0.0644,0.0440,0.0670,+8.1%
tar_workload,adaptive,0.0632,0.0440,0.0680,+6.0%
tar_workload,adaptive_depth1,0.0697,0.0460,0.1390,+17.0%
tar_workload,adaptive_depth2,0.0637,0.0440,0.0700,+7.0%
tar_workload,adaptive_depth4,0.0649,0.0440,0.0790,+8.9%
tar_workload,adaptive_depth8,0.0657,0.0540,0.0800,+10.3%
python_import,native,0.0225,0.0120,0.0420,0.0%
python_import,none,0.0516,0.0300,0.0780,+130.1%
python_import,baseline,0.0562,0.0350,0.0610,+150.3%
python_import,adaptive,0.0515,0.0390,0.0730,+129.6%
python_import,adaptive_depth1,0.0535,0.0440,0.0730,+138.3%
python_import,adaptive_depth2,0.0550,0.0330,0.0670,+145.0%
python_import,adaptive_depth4,0.0546,0.0450,0.0770,+143.0%
python_import,adaptive_depth8,0.0541,0.0360,0.0770,+140.8%
