workload,mode,avg_real,min_real,max_real,overhead_vs_native
sequential,native,0.0176,0.0160,0.0210,0.0%
sequential,none,0.1188,0.1030,0.1360,+576.9%
sequential,baseline,0.1304,0.1120,0.1470,+643.0%
sequential,adaptive,0.1274,0.1080,0.1400,+625.6%
sequential,adaptive_depth1,0.1242,0.1000,0.1380,+607.7%
sequential,adaptive_depth2,0.1309,0.1090,0.1380,+645.9%
sequential,adaptive_depth4,0.1330,0.1030,0.1460,+658.1%
sequential,adaptive_depth8,0.1445,0.1260,0.1590,+723.4%
random,native,0.0294,0.0200,0.0330,0.0%
random,none,0.0405,0.0280,0.0430,+37.8%
random,baseline,0.0403,0.0210,0.0450,+37.3%
random,adaptive,0.0408,0.0210,0.0440,+38.8%
random,adaptive_depth1,0.0399,0.0160,0.0440,+35.8%
random,adaptive_depth2,0.0404,0.0260,0.0440,+37.5%
random,adaptive_depth4,0.0414,0.0340,0.0440,+40.9%
random,adaptive_depth8,0.0419,0.0400,0.0440,+42.8%
phase_change,native,0.0352,0.0310,0.0640,0.0%
phase_change,none,0.2107,0.1940,0.2190,+498.4%
phase_change,baseline,0.2398,0.2190,0.2550,+581.4%
phase_change,adaptive,0.2423,0.2230,0.2610,+588.4%
phase_change,adaptive_depth1,0.2462,0.2300,0.2570,+599.4%
phase_change,adaptive_depth2,0.2515,0.2390,0.2590,+614.3%
phase_change,adaptive_depth4,0.2528,0.2440,0.2640,+618.2%
phase_change,adaptive_depth8,0.2754,0.2430,0.2870,+682.4%
sqlite_workload,native,0.0110,0.0080,0.0120,0.0%
sqlite_workload,none,0.0285,0.0200,0.0320,+160.3%
sqlite_workload,baseline,0.0315,0.0200,0.0350,+187.7%
sqlite_workload,adaptive,0.0308,0.0190,0.0350,+181.3%
sqlite_workload,adaptive_depth1,0.0328,0.0290,0.0350,+199.5%
sqlite_workload,adaptive_depth2,0.0314,0.0210,0.0360,+186.8%
sqlite_workload,adaptive_depth4,0.0311,0.0200,0.0370,+184.0%
sqlite_workload,adaptive_depth8,0.0311,0.0210,0.0370,+184.0%
tar_workload,native,0.0165,0.0160,0.0170,0.0%
tar_workload,none,0.0601,0.0520,0.0640,+265.3%
tar_workload,baseline,0.0657,0.0320,0.0720,+299.1%
tar_workload,adaptive,0.0599,0.0360,0.0710,+263.8%
tar_workload,adaptive_depth1,0.0626,0.0310,0.0720,+280.2%
tar_workload,adaptive_depth2,0.0661,0.0300,0.0750,+301.8%
tar_workload,adaptive_depth4,0.0604,0.0350,0.0730,+267.2%
tar_workload,adaptive_depth8,0.0660,0.0350,0.0780,+301.5%
python_import,native,0.0131,0.0080,0.0140,0.0%
python_import,none,0.0566,0.0540,0.0630,+332.1%
python_import,baseline,0.0603,0.0560,0.0670,+360.3%
python_import,adaptive,0.0557,0.0540,0.0580,+325.2%
python_import,adaptive_depth1,0.0576,0.0520,0.0820,+339.3%
python_import,adaptive_depth2,0.0573,0.0530,0.0930,+337.0%
python_import,adaptive_depth4,0.0570,0.0510,0.0720,+335.1%
python_import,adaptive_depth8,0.0586,0.0540,0.0870,+346.9%
